codigoCredito,codigoOficina,tipoCredito,sector,destinoCredito,fechaAperturaMin,fechaAperturaMax,montoApertura,numeroCuotas,interes,condicionCredito,esDeudor,cuentaUnica,periodos
035710059292,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-01-27,2017-11-20,8000.0,12,1684.71,NORMAL,0,1,sem2
035710059284,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-01-18,2017-11-20,2060.0,12,539.43,VENCIDO,1,1,sem2
035710060944,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-06-01,2018-01-20,2000.0,12,489.7,NORMAL,0,0,sem2
035710059326,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-20,2017-11-20,2078.0,12,473.7,NORMAL,0,1,sem2
035710059318,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-08-04,2017-11-21,10000.0,18,3088.06,NORMAL,0,1,sem3
035710092145,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-01-24,2018-01-08,10060.0,15,2523.63,NORMAL,0,1,sem3
035710059888,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-21,2017-11-21,20000.0,24,7790.03,NORMAL,0,1,sem4
035710059912,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-06-27,2018-03-17,2000.0,12,507.96,NORMAL,0,0,sem2
035710060977,035,RECUPERADO,CONSUMO,CONSUMO,2017-11-22,2017-11-22,8650.0,24,1986.13,NORMAL,0,1,sem4
035710059862,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-03-14,2017-11-21,3078.0,12,870.84,VENCIDO+120DIAS,1,1,sem2
035710062890,035,RECURRENTE,PYMES,CTINFORMAL,2017-08-16,2017-11-27,4000.0,12,986.5,NORMAL,0,1,sem2
035710060001,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-22,2017-11-22,10000.0,18,3902.15,VENCIDO+120DIAS,1,1,sem3
035710059904,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-07-06,2017-11-21,6060.0,12,1578.76,VENCIDO,1,1,sem2
035710059995,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-22,2017-11-22,2078.0,12,450.15,NORMAL,0,1,sem2
035710060233,035,RECURRENTE,PYMES,AFINFORMAL,2017-04-27,2017-11-22,35000.0,24,11937.96,NORMAL,0,1,sem4
035710062684,035,RECURRENTE,PYMES,AFINFORMAL,2017-11-24,2017-11-24,20000.0,18,4876.3,NORMAL,0,1,sem3
035710061017,035,RECURRENTE,PYMES,AFINFORMAL,2017-11-22,2017-11-22,36000.0,36,14208.2,NORMAL,0,1,sem6
035710063229,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-27,2017-11-27,620.0,6,296.72,CASTIGADO(V),1,1,sem1
035710066446,035,RECUPERADO,MICROEMPRESA,CTINFORMAL,2017-11-29,2017-11-29,10000.0,12,2058.99,NORMAL,0,1,sem2
035710065604,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-11-29,2017-11-29,5120.0,12,1049.41,NORMAL,0,1,sem2
035710063203,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-04-12,2017-11-24,5078.0,12,1031.8,NORMAL,0,1,sem2
035710060910,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-22,2017-11-22,1500.0,12,344.83,NORMAL,0,1,sem2
035710061942,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-23,2018-04-25,10060.0,24,4060.57,NORMAL,0,0,sem4
035710060902,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-01-25,2017-11-22,10000.0,18,3006.31,NORMAL,0,1,sem3
035710060894,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-23,2018-06-11,2060.0,12,466.3,NORMAL,0,0,sem2
035710060985,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-04-25,2017-11-23,5000.0,12,1199.43,NORMAL,0,0,sem2
035710061009,035,RECURRENTE,PYMES,AFINFORMAL,2017-01-13,2017-11-27,20156.0,24,7699.06,NORMAL,0,1,sem4
035710062858,035,RECURRENTE,PYMES,CTINFORMAL,2017-11-24,2017-11-24,10000.0,12,2047.9,NORMAL,0,1,sem2
035710063252,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-25,2017-11-25,2120.0,12,909.1,CASTIGADO(V),1,1,sem2
035710063286,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-05-31,2017-11-25,8000.0,24,3543.3,NORMAL,0,1,sem4
035710063278,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-07-26,2017-11-27,20000.0,18,5713.3,NORMAL,0,1,sem3
035710063294,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-11-27,2017-11-27,3000.0,12,644.62,NORMAL,0,1,sem2
035710063930,035,NUEVO,PYMES,AFINFORMAL,2017-11-27,2017-11-27,20000.0,24,7639.64,NORMAL,0,1,sem4
035710062320,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-24,2017-11-24,15000.0,18,3684.38,NORMAL,0,1,sem3
035710063245,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-06-12,2017-11-25,10000.0,18,3458.66,NORMAL,0,1,sem3
035710061975,035,RECUPERADO,PYMES,CTINFORMAL,2017-05-10,2017-11-24,30000.0,18,5957.27,NORMAL,0,1,sem3
035710062528,035,NUEVO,MICROEMPRESA,CTINFORMAL,2017-11-24,2017-11-24,3000.0,12,690.5,NORMAL,0,1,sem2
035710062551,035,NUEVO,MICROEMPRESA,CTINFORMAL,2017-11-27,2017-11-27,2000.0,12,485.15,NORMAL,0,1,sem2
035710062122,035,NUEVO,MICROEMPRESA,CTINFORMAL,2017-11-25,2017-11-25,5000.0,12,1044.52,NORMAL,0,1,sem2
035710075751,035,NUEVO,PYMES,AFINFORMAL,2017-12-12,2017-12-12,30000.0,36,13202.76,NORMAL,0,1,sem6
035710063211,035,RECURRENTE,PYMES,AFINFORMAL,2017-11-25,2017-11-25,20000.0,18,5853.55,NORMAL,1,1,sem3
035710062882,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-04-06,2017-11-24,4059.0,12,863.15,NORMAL,0,1,sem2
035710063302,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-27,2017-11-27,1078.0,12,246.98,NORMAL,1,1,sem2
035710063260,035,RECURRENTE,PYMES,AFFORMAL,2017-07-15,2017-11-28,10117.0,18,3131.41,NORMAL,0,1,sem3
035710064102,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-28,2017-11-28,3000.0,12,1040.46,VENCIDO+120DIAS,1,1,sem2
035710063880,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-27,2017-11-27,5000.0,12,1124.23,VENCIDO,1,1,sem2
035710063948,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-28,2017-11-28,500.0,6,120.33,VENCIDO,1,1,sem1
035710063955,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-27,2017-11-27,1000.0,10,215.46,NORMAL,0,1,sem2
035710066479,035,NUEVO,PYMES,AFINFORMAL,2017-11-29,2017-11-29,35000.0,24,11683.56,NORMAL,0,1,sem4
035710064581,035,RECUPERADO,MICROEMPRESA,CTINFORMAL,2017-03-07,2017-11-28,20000.0,12,2324.74,NORMAL,0,1,sem2
035710064425,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-28,2017-11-28,3078.0,12,678.35,NORMAL,0,1,sem2
035710064094,035,RECURRENTE,PYMES,AFINFORMAL,2017-06-21,2017-11-28,5078.0,12,1332.01,VENCIDO+120DIAS,1,1,sem2
035710063617,035,RECURRENTE,PYMES,AFFORMAL,2017-11-27,2017-11-27,90000.0,36,23678.0,NORMAL,0,1,sem6
035710065612,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-28,2017-11-28,8000.0,12,1721.28,NORMAL,1,1,sem2
035710063963,035,RECUPERADO,PYMES,CTINFORMAL,2017-11-27,2017-11-27,2078.0,12,477.29,NORMAL,0,1,sem2
035710064250,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-05-25,2018-03-24,3000.0,12,626.85,NORMAL,0,0,sem2
035710066438,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-30,2017-11-30,5000.0,12,1117.52,NORMAL,0,1,sem2
035710066396,035,RECUPERADO,PYMES,AFINFORMAL,2017-11-29,2017-11-29,20000.0,24,7952.85,NORMAL,1,1,sem4
035710065646,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-11-28,2017-11-28,5117.0,18,1806.88,NORMAL,0,1,sem3
035710076056,035,RECURRENTE,PYMES,CTINFORMAL,2017-03-13,2018-04-26,25000.0,12,3892.48,NORMAL,1,0,sem2
035710066487,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-29,2017-11-29,2060.0,12,605.89,NORMAL,0,1,sem2
035710065620,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-30,2017-11-30,4000.0,12,962.21,NORMAL,0,1,sem2
035710065711,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-04-22,2018-03-13,6000.0,12,1230.45,NORMAL,0,0,sem2
035710065703,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-01-16,2017-11-28,1000.0,10,251.56,NORMAL,0,1,sem2
035710066081,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-29,2017-11-29,5059.0,12,1076.01,NORMAL,0,1,sem2
035710066420,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-03-23,2017-11-29,2156.0,12,538.03,NORMAL,0,1,sem2
